ID,AgeBracket,SexAtBirth,CurrentSex,Ethnicity,HighestEducation,HRQOL1,HRQOL2,PWB1,PWB2,PWB3,PWB4,PWB5,PWB6,PWB7,PWB8,PWB9,PWB10,PWB11,PWB12,PWB13,PWB14,PWB15,PWB16,PWB17,PWB18,WEMWBS1,WEMWBS2,WEMWBS3,WEMWBS4,WEMWBS5,WEMWBS6,WEMWBS7,WEMWBS8,WEMWBS9,WEMWBS10,WEMWBS11,WEMWBS12,WEMWBS13,WEMWBS14,MSPSS1,MSPSS2,MSPSS3,MSPSS4,MSPSS5,MSPSS6,MSPSS7,MSPSS8,MSPSS9,MSPSS10,MSPSS11,MSPSS12,SC0,SC1,SC2,SC3
183,34-48,Female,,Other white ethnic group,"Postgraduate Qualification, Masters",Very Good,0-5,Strongly agree,Strongly agree,Strongly agree,A little disagree,Strongly disagree,Strongly disagree,A little disagree,Strongly agree,Strongly agree,A little agree,Strongly agree,Strongly agree,A little agree,A little disagree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Often,All of the time,Rarely,Some of the time,Rarely,Often,All of the time,All of the time,Often,All of the time,All of the time,All of the time,Often,All of the time,Strongly agree,Strongly agree,Mildly agree,Strongly agree,Strongly disagree,Strongly disagree,Mildly agree,Mildly disagree,Neutral,Strongly agree,Strongly agree,Strongly disagree,2,113,58,53
184,18-33,Female,,Other (not listed),Undergraduate Degree,Good,0-5,Somewhat agree,Somewhat agree,Somewhat agree,A little agree,A little disagree,Somewhat disagree,Somewhat disagree,A little agree,Somewhat agree,A little agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,A little disagree,Somewhat disagree,Somewhat agree,A little agree,Often,Often,Rarely,Often,Rarely,Some of the time,Some of the time,Some of the time,Often,Often,Some of the time,Often,Often,Some of the time,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,3,98,47,72
185,18-33,Male,,Other British,Undergraduate Degree,Good,0-5,Strongly agree,A little agree,Neither agree nor disagree,A little agree,A little disagree,A little disagree,A little disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,A little agree,Strongly agree,Somewhat agree,A little disagree,A little agree,A little disagree,A little agree,A little agree,Some of the time,Often,Often,Often,Some of the time,Often,All of the time,Often,Often,Often,Often,Some of the time,Often,Often,Strongly agree,Strongly agree,Strongly agree,Mildly agree,Mildly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Very strongly agree,3,87,54,69
186,18-33,Male,,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Good,0-5,A little agree,A little agree,Neither agree nor disagree,A little agree,A little disagree,A little agree,Neither agree nor disagree,A little disagree,A little agree,A little agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,A little agree,A little agree,A little disagree,Neither agree nor disagree,A little agree,Some of the time,Some of the time,Often,Often,Some of the time,Some of the time,Some of the time,Some of the time,Rarely,Some of the time,Often,Often,Some of the time,Rarely,Mildly agree,Strongly agree,Strongly agree,Mildly agree,Mildly agree,Mildly agree,Mildly agree,Neutral,Mildly agree,Mildly agree,Mildly agree,Neutral,3,76,44,60
187,18-33,Female,Female,Other British,Undergraduate Degree,Fair,Oct-15,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,A little agree,Somewhat agree,A little agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Rarely,Rarely,Rarely,Often,Rarely,Some of the time,Rarely,Rarely,Some of the time,Some of the time,Some of the time,All of the time,Often,Some of the time,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Mildly agree,Strongly agree,Mildly agree,Mildly agree,Very strongly agree,Very strongly agree,Mildly agree,4,90,40,75
188,18-33,Female,,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Very Good,None,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,A little disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,A little agree,Somewhat disagree,A little agree,Strongly agree,All of the time,All of the time,Some of the time,Some of the time,Some of the time,Often,Often,Often,Often,Often,Often,Often,Often,Some of the time,Very strongly disagree,Mildly disagree,Strongly agree,Neutral,Very strongly disagree,Strongly agree,Mildly agree,Neutral,Strongly agree,Mildly disagree,Mildly agree,Strongly agree,2,111,54,50
189,18-33,Female,,Other white ethnic group,PhD or other professional qualification,Good,05-Oct,A little disagree,Somewhat agree,A little disagree,Strongly agree,Neither agree nor disagree,A little disagree,Strongly disagree,A little agree,Strongly disagree,Strongly disagree,A little agree,Somewhat agree,Somewhat agree,Strongly disagree,A little disagree,Somewhat disagree,A little agree,Neither agree nor disagree,Rarely,Some of the time,None of the time,Often,Rarely,Rarely,Some of the time,Rarely,Some of the time,Rarely,Some of the time,Some of the time,Some of the time,Rarely,Strongly agree,Mildly agree,Neutral,Neutral,Mildly agree,Mildly agree,Mildly agree,Mildly agree,Mildly agree,Strongly agree,Neutral,Mildly agree,3,86,35,59
191,18-33,Female,Female,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Fair,Oct-15,Somewhat agree,Somewhat agree,Somewhat agree,A little agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,A little disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Rarely,Rarely,None of the time,Rarely,Rarely,None of the time,Some of the time,None of the time,None of the time,None of the time,All of the time,Rarely,Often,None of the time,Mildly disagree,Mildly agree,Strongly disagree,Strongly disagree,Mildly agree,Strongly agree,Mildly agree,Very strongly disagree,Strongly agree,Mildly agree,Strongly agree,Strongly agree,4,98,28,52
192,18-33,Male,Male,Other British,Undergraduate Degree,Good,0-5,Strongly agree,Somewhat agree,A little agree,Somewhat agree,Somewhat agree,A little agree,,A little agree,A little agree,Strongly disagree,Somewhat agree,Strongly agree,A little agree,Strongly disagree,A little agree,Somewhat disagree,Strongly agree,Somewhat agree,Some of the time,Rarely,Often,Often,Often,Often,Some of the time,Often,Often,Often,Often,Often,Often,Often,Very strongly agree,Very strongly agree,Strongly agree,Strongly agree,Very strongly agree,Neutral,Mildly agree,Mildly disagree,Strongly agree,Very strongly agree,Neutral,Strongly agree,3,89,52,68
193,18-33,Female,Female,Other white ethnic group,"Postgraduate Qualification, Masters",Good,05-Oct,Neither agree nor disagree,Somewhat agree,Somewhat agree,A little disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,A little disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Some of the time,Often,Rarely,Often,Rarely,Often,Often,Some of the time,Often,Often,Often,All of the time,Often,Some of the time,Strongly agree,Very strongly agree,Strongly agree,Strongly agree,Very strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very strongly agree,Strongly agree,Mildly agree,3,101,50,74
194,18-33,Female,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Very Good,0-5,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,A little disagree,Often,Some of the time,Often,Often,Some of the time,Often,Often,Some of the time,Some of the time,Some of the time,Often,Often,Some of the time,Some of the time,Mildly agree,Strongly agree,Strongly agree,Strongly agree,Mildly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Mildly agree,Strongly agree,2,101,49,69
195,18-33,Female,Female,"Indian, Indian Scottish or Indian British",Undergraduate Degree,Good,0-5,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,A little disagree,Strongly disagree,Neither agree nor disagree,A little agree,A little disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,A little disagree,Somewhat agree,A little agree,Somewhat agree,Often,Some of the time,Rarely,Often,Some of the time,Often,Some of the time,Some of the time,Often,Some of the time,Some of the time,Often,All of the time,Some of the time,Mildly agree,Very strongly agree,Mildly agree,Mildly agree,Very strongly agree,Neutral,Mildly agree,Strongly agree,Mildly agree,Strongly agree,Mildly agree,Mildly agree,3,96,48,65
196,18-33,Female,,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Fair,05-Oct,Somewhat disagree,Somewhat disagree,A little disagree,Neither agree nor disagree,A little agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,A little disagree,A little agree,Rarely,Rarely,Rarely,Rarely,Rarely,Some of the time,Often,Rarely,Rarely,Rarely,All of the time,All of the time,Often,Rarely,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,4,81,39,83
197,18-33,Female,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Good,None,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,A little disagree,A little agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,A little agree,Often,Often,Rarely,Some of the time,Rarely,Some of the time,Often,Often,Some of the time,Often,Often,All of the time,Often,Some of the time,Mildly agree,Strongly agree,Very strongly agree,Very strongly agree,Strongly agree,Very strongly agree,Strongly agree,Very strongly agree,Strongly agree,Very strongly agree,Very strongly agree,Strongly agree,3,96,49,77
199,18-33,Female,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Good,Oct-15,A little agree,Somewhat agree,Somewhat agree,A little agree,Somewhat agree,Somewhat agree,A little agree,A little agree,A little agree,A little agree,A little agree,A little agree,A little agree,A little disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,A little agree,Some of the time,Some of the time,Some of the time,Some of the time,Rarely,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Rarely,Some of the time,Neutral,Mildly agree,Strongly agree,Strongly agree,Mildly agree,Mildly agree,Neutral,Mildly agree,Neutral,Mildly disagree,Neutral,Mildly agree,3,77,40,56
200,18-33,Female,Female,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Very Good,0-5,A little agree,Strongly disagree,A little disagree,A little agree,Somewhat disagree,A little agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Often,Often,Some of the time,Some of the time,Often,Often,Often,Often,Some of the time,Often,All of the time,Often,All of the time,Some of the time,Very strongly agree,Very strongly agree,Neutral,Strongly disagree,Very strongly agree,Strongly agree,Mildly agree,Very strongly disagree,Strongly agree,Very strongly agree,Strongly disagree,Strongly agree,2,90,54,60
201,18-33,Female,Female,Scottish,Undergraduate Degree,Very Good,0-5,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,A little disagree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Some of the time,Often,Some of the time,All of the time,Some of the time,Often,Often,Some of the time,Often,Some of the time,All of the time,All of the time,Some of the time,Often,Very strongly agree,Very strongly agree,Strongly agree,Mildly agree,Very strongly agree,Strongly agree,Strongly agree,Mildly agree,Strongly agree,Strongly agree,Mildly agree,Strongly agree,2,116,53,72
202,18-33,Female,Female,"Arab, Arab Scottish or Arab British",Undergraduate Degree,Very Good,05-Oct,Somewhat agree,Somewhat agree,Somewhat agree,A little agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,A little agree,Strongly disagree,Somewhat agree,Somewhat agree,Some of the time,Often,Some of the time,Often,Some of the time,Often,Some of the time,Some of the time,Some of the time,Some of the time,Often,Often,Some of the time,Some of the time,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,2,108,47,83
203,18-33,Female,,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Good,0-5,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,A little disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly disagree,A little disagree,Neither agree nor disagree,Often,Often,Often,Often,Some of the time,Some of the time,Some of the time,Often,All of the time,Some of the time,Some of the time,All of the time,Some of the time,Often,Strongly agree,Strongly agree,Very strongly agree,Very strongly agree,Strongly agree,Strongly agree,Strongly agree,Very strongly agree,Strongly agree,Very strongly agree,Strongly agree,Strongly agree,3,96,52,76
204,18-33,Female,,"Indian, Indian Scottish or Indian British",Undergraduate Degree,Good,0-5,Strongly agree,Strongly agree,A little agree,Somewhat disagree,Strongly disagree,A little agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Some of the time,Some of the time,Often,Some of the time,Some of the time,Often,Often,Some of the time,Rarely,Some of the time,Some of the time,Some of the time,Often,Some of the time,Strongly disagree,Strongly disagree,Very strongly agree,Strongly agree,Mildly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,3,94,45,58
